Performance Title,Event Dates,Playwright,Genre,Politics,Morality,Monstrosity,Critiquing
Macbeth,1664,William Davenant,tragedy,Royalist,Libertine,Monstrous Woman,Illegitimate succession
The Roman Empress,1670,William Joyner,tragedy,Royalist,Libertine,Monstrous Woman,Illegitimate succession
The Conquest Of Granada,1670,John Dryden,tragedy,Royalist,Libertine,Monstrous Woman,
Herod And Mariamne,1671,Samuel Pordage,,,,,
Charles the Eighth,1671,John Crowne,,,,,
The Empress Of Morocco,1673,Elkanah Settle,horror,Republican,Conservative,Monstrous Woman,Illegitimate succession
The Tragedy Of Nero,1674,Nathaniel Lee,horror,Republican,Conservative,Degenerate Ruler,Tyranny
Alcibiades,1675,Thomas Otway,horror,,,,
Aureng-zebe,1675,John Dryden,tragedy,Royalist,Libertine,Monstrous Woman,
Abdelazer,1676,Aphra Behn,horror,Royalist,Libertine,Monstrous Woman,Illegitimate succession
"Pastor Fido; Or, The Faithful Shepherd",1676,Elkanah Settle,,,,,
The Plain Dealer,1676,William Wycherley,comedy,,,,
Don Carlos,1676,Thomas Otway,horror,,,Patrilineal Discord,Illegitimate succession
The Libertine,1676,Thomas Shadwell,horror,,,Forsaken Justice,
The Rival Queens,1677,Nathaniel Lee,horror,Republican,Conservative,Degenerate Ruler,
Circe,1677,Charles Davenant,,,,,
Oedipus,1678,Nathaniel Lee ; John Dryden,horror,Royalist,Libertine,Patrilineal Discord,Illegitimate succession
The Loyal General,1679,Nahum Tate,,,,,
King Lear,1681,Nahum Tate,tragedy,,,,
Vallentinian,1684,Earl of Rochester,horror,Royalist,Libertine,Forsaken Justice,
The Massacre Of Paris,1689,Nathaniel Lee,,,,,
"Distress'd Innocence; Or, The Princess Of Persia",1690,Elkanah Settle,,,,,
Cleomenes,1692,John Dryden,,,,,
The Double Dealer,1693,William Congreve,comedy,Royalist,Libertine,,
The Ambitious Slave,1694,Elkanah Settle,,,,,
"The Rival Sisters; Or, The Violence Of Love",1695,Robert Gould,,,,,
Agnes De Castro,1695,Catherine Trotter,she-tragedy,,,,
"Neglected Virtue; Or, The Unhappy Conquerors",1696,Charles Hopkins,,,,,
The Royal Mischief,1696,Delarivier Manley,she-tragedy,,,,
"Ibrahim, The Thirteenth Emperour Of The Turks",1696,Mary Pix,she-tragedy,,,,
The Female Wits,1696,Anon.,satire,,,,
The Princess Of Parma,1699,Henry Smith,she-tragedy,,,,
The Way Of The World,1700,William Congreve,comedy,,,,
The Ambitious Stepmother,1700,Nicholas Rowe,,,,,
